Agent,Traffic,Mean Utilization,Congestion Penalty,Reward
ECMP,moderate,0.924469,0.33071676,-67.70287453401683
DQN,moderate,0.882769,0.27948797,-60.83761345344483
PPO,moderate,0.92589366,0.29450622,-64.65157215955553
ECMP,burst,0.8131479,0.25457507,-54.126519853550136
DQN,burst,0.7527795,0.21057466,-49.4804048730834
PPO,burst,0.83322126,0.22322121,-58.5288760236338
ECMP,congestion,0.9984323,0.24353752,-73.78097576691356
DQN,congestion,0.99599916,0.3945219,-80.4122653301253
PPO,congestion,0.9949765,0.40808487,-80.42898345534789
